Description FR;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;Dim 6;Prix devise;Devise;Taux change; Prix € / pièce ;Prix total Dim 1;Prix total Dim 2;Prix total Dim 3;Prix total Dim 4;Prix total Dim 5;Prix total Dim 6;Description GB;Fournisseur;Ref fournisseur
KIT REVELATION;;;;;;;;;;;;;;;;;;;
Kit - Général;;;;;;;;;;;;;;;;;;;
'Clé d''accordage';1;1;1;1;1;1;1,8;USD;1,1; 1,64 € ; 1,64 € ; 1,64 € ; 1,64 € ; 1,64 € ; 1,64 € ; 1,64 € ; Die Casting Drum Key Chrome Plating ; Léa Hung ; FR15-K01CR 
Grosses caisses;18x14;20x14;22x14;22x16;24x14;24x16;;;;;18x14;20x14;22x14;22x16;24x14;24x16;;;
Quantité Rhodoïde par fût - Finition Ripple;1,5;1,5;1,5;1,5;1,5;1,5;52,5;USD;1,1; 47,73 € ; 71,59 € ; 71,59 € ; 71,59 € ; 71,59 € ; 71,59 € ; 71,59 € ;;;
Supplément finition Sparkle;1,5;1,5;1,5;1,5;1,5;1,5;14;USD;1,1; 12,73 € ; 19,09 € ; 19,09 € ; 19,09 € ; 19,09 € ; 19,09 € ; 19,09 € ;;;
Rhodoïde Alice Copper (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Gold Ripple Pearl on black ; Delmar ; PVF-K16461001B-026LM 
Rhodoïde Asblack (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Black Ripple ; Delmar ; PVF-K16221001B-028LM 
Rhodoïde FadeToGris (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Grey Smoke Ripple on black ; Delmar ; PVF-16451001B-026LM 
Rhodoïde CharlieWhite (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Vintage Ripple Pearl on White ; Delmar ; PVF-16451001W-026LM 
Rhodoïde Marcel Blanche (sparkle)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;66,5;USD;1,1; 60,45 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Vintage Nickel Sparkle ; Delmar ; PSP-1645NICKELW-025LM 
Rhodoïde Moulin Rouge (sparkle)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;66,5;USD;1,1; 60,45 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Dark Red Sparkle ; Delmar ; PSP-DARKRED6W-025LM 
;;;;;;;;;;;;;;;;;;;
'Fût Acajou/Peuplier/Acajou 18''''x14''''-Par tube 18x33';0,5;;;;;;211,96;EUR;1; 211,96 € ; 105,98 € ; -   € ; -   € ; -   € ; -   € ; -   € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 18x33 ; CVL ;
Renfort de chanfrein 18" - Par couple;1;;;;;;22,4;EUR;1; 22,40 € ; 22,40 € ; -   € ; -   € ; -   € ; -   € ; -   € ; Shell 3 - Per couple of rings ; CVL ;
'Cercle grosse caisse Hêtre 18''''';2;;;;;;20,56;EUR;1; 20,56 € ; 41,12 € ; -   € ; -   € ; -   € ; -   € ; -   € ; BD Hoops Beech/Maple 18x1,5 with inlay - Per tube of 19 ; CVL ; Single price 
'Peau de frappe 18''''';1;;;;;;8,78;USD;1,1; 7,98 € ; 7,98 € ; -   € ; -   € ; -   € ; -   € ; -   € ; ASBA 18" GEN G2 CTD, Bass Drum ;' D''Addario '; Y40208-BD18G2 
'Peau de résonnance 18''''';1;;;;;;8,78;USD;1,1; 7,98 € ; 7,98 € ; -   € ; -   € ; -   € ; -   € ; -   € ; ASBA 18" G1 CTD, Bass Drum ;' D''Addario '; Y40208-BD18G1 
'Fût Acajou/Peuplier/Acajou 20''''x14''''-Par tube 20x33';;0,5;;;;;220,21;EUR;1; 220,21 € ; -   € ; 110,11 € ; -   € ; -   € ; -   € ; -   € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 20x33 ; CVL ;
Renfort de chanfrein 20" - Par couple;;1;;;;;22,4;EUR;1; 22,40 € ; -   € ; 22,40 € ; -   € ; -   € ; -   € ; -   € ; Shell 3 - Per couple of rings ; CVL ;
'Cercle grosse caisse Hêtre 20''''';;2;;;;;21,22;EUR;1; 21,22 € ; -   € ; 42,44 € ; -   € ; -   € ; -   € ; -   € ; BD Hoops Beech/Maple 20x1,5 with inlay - Per tube of 19 ; CVL ; Single price 
'Peau de frappe 20''''';;1;;;;;12,83;USD;1,1; 11,66 € ; -   € ; 11,66 € ; -   € ; -   € ; -   € ; -   € ; ASBA 20" GEN G2 CTD ;' D''Addario '; Y40208-BD20G2CW 
'Peau de résonnance 20''''';;1;;;;;12,83;USD;1,1; 11,66 € ; -   € ; 11,66 € ; -   € ; -   € ; -   € ; -   € ; ASBA 20" GEN G1 CTD ;' D''Addario '; Y40208-BD20G1CW 
'Fût Acajou/Peuplier/Acajou 22''''x14'''' ou 16''''-Par tube 22x37';;;0,5;0,5;;;238;EUR;1; 238,00 € ; -   € ; -   € ; 119,00 € ; 119,00 € ; -   € ; -   € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 22x37 ; CVL ;
Renfort de chanfrein 22" - Par couple;;;1;1;;;22,4;EUR;1; 22,40 € ; -   € ; -   € ; 22,40 € ; 22,40 € ; -   € ; -   € ; Shell 3 - Per couple of rings ; CVL ;
'Cercle grosse caisse Hêtre 22''''';;;2;2;;;20,8;EUR;1; 20,80 € ; -   € ; -   € ; 41,60 € ; 41,60 € ; -   € ; -   € ; BD Hoops Beech/Maple 22x1,5 with inlay - Per tube of 19 ; CVL ; Single price 
'Peau de frappe 22''''';;;1;1;;;13,59;USD;1,1; 12,35 € ; -   € ; -   € ; 12,35 € ; 12,35 € ; -   € ; -   € ; ASBA 22" GEN G2 CTD ;' D''Addario '; Y40208-BD22G2CW 
'Peau de résonnance 22''''';;;1;1;;;13,59;USD;1,1; 12,35 € ; -   € ; -   € ; 12,35 € ; 12,35 € ; -   € ; -   € ; ASBA 22" GEN G1 CTD ;' D''Addario '; Y40208-BD22G1CW 
'Fût Acajou/Peuplier/Acajou 24''''x14''''ou 16''''-Par tube 24x16';;;;;1;1;153,2;EUR;1; 153,20 € ; -   € ; -   € ; -   € ; -   € ; 153,20 € ; 153,20 € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 24x16 ; CVL ;
Renfort de chanfrein 24" - Par couple;;;;;1;1;22,4;EUR;1; 22,40 € ; -   € ; -   € ; -   € ; -   € ; 22,40 € ; 22,40 € ; Shell 3 - Per couple of rings ; CVL ;
'Cercle grosse caisse Hêtre 24''''';;;;;2;2;22,23;EUR;1; 22,23 € ; -   € ; -   € ; -   € ; -   € ; 44,46 € ; 44,46 € ; BD Hoops Beech/Maple 24x1,5 with inlay - Per tube of 19 ; CVL ; Single price 
'Peau de frappe 24''''';;;;;1;1;19,53;USD;1,1; 17,75 € ; -   € ; -   € ; -   € ; -   € ; 17,75 € ; 17,75 € ; ASBA 24" EQ3 RESCTD WHT NOPORT ;' D''Addario '; Y40208-24RGCWNP 
'Peau de résonnance 24''''';;;;;1;1;18,9;USD;1,1; 17,18 € ; -   € ; -   € ; -   € ; -   € ; 17,18 € ; 17,18 € ; ASBA 24" EQ4 BTR UV CTD ;' D''Addario '; Y40208-24GB4UV 
;;;;;;;;;;;;;;;;;;;
Air Vent chromé avec joint;1;1;1;1;1;1;1,5;USD;1,1; 1,36 € ; 1,36 € ; 1,36 € ; 1,36 € ; 1,36 € ; 1,36 € ; 1,36 € ; Die Casting Air Vent Chrome Plating including Gasket ; Léa Hung ; FR15-AV01CR 
Vis inox 3x16 chromé tête ronde pour air vent (vendu par set de 2);2;2;2;2;2;2;0,3;USD;1; 0,30 € ; 0,60 € ; 0,60 € ; 0,60 € ; 0,60 € ; 0,60 € ; 0,60 € ; Inox screw for airvent ; Léa Hung ; En attente 
'Rondelle Inox  dos d''air Vent';2;2;2;2;2;2;0,2;EUR;1; 0,20 € ; 0,40 € ; 0,40 € ; 0,40 € ; 0,40 € ; 0,40 € ; 0,40 € ;Estimation; Contact Baptiste : fixnvis ; Voir diamètre extérieur et intérieur (intérieur=vis 3x16) 
;;;;;;;;;;;;;;;;;;;
Pieds de grosse caisse Gibraltar (paire);1;1;1;1;1;1;34,56;EUR;1; 34,56 € ; 34,56 € ; 34,56 € ; 34,56 € ; 34,56 € ; 34,56 € ; 34,56 € ; Bass Drum Spur (set) ; Gewa ; GI851254 
Vis de montage 5x15 pour pieds Gibraltar;8;8;8;8;8;8;0,05;USD;1,1; 0,05 € ; 0,36 € ; 0,36 € ; 0,36 € ; 0,36 € ; 0,36 € ; 0,36 € ; Mounting Screw 5x15 Nickel Plating ; Léa Hung ; BS01-050015NK 
Vis papillon pied de grosse caisse longue M6 (bas);2;2;2;2;2;2;0,8;USD;1,1; 0,73 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; ASBA M6 Wing Nut - Long Neck, Chrome Plating ; Léa Hung ; 2A100015CR 
Vis papillon pied de grosse caisse longue M8 (haut);2;2;2;2;2;2;0,8;USD;1,1; 0,73 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; ASBA M8 Wing Nut - Long Neck, Chrome Plating ; Léa Hung ; 2A100016CR 
;;;;;;;;;;;;;;;;;;;
Badge laiton ASBA;1;1;1;1;1;1;3;USD;1,1; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; Die Casting Badge Brass Plating ; Léa Hung ; FR15-BG01BR 
Vis de montage 4x9 pour badge;2;2;2;2;2;2;0,04;USD;1,1; 0,04 € ; 0,07 € ; 0,07 € ; 0,07 € ; 0,07 € ; 0,07 € ; 0,07 € ; Mounting Screw 4x9 Nickel Plating  ; Léa Hung ; BS01-040009NK 
;;;;;;;;;;;;;;;;;;;
Coquilles de grosse caisse chromée;16;16;20;20;20;20;2;USD;1,1; 1,82 € ; 29,09 € ; 29,09 € ; 36,36 € ; 36,36 € ; 36,36 € ; 36,36 € ; Die Casting Lug Chrome Plating excluding gasket For Bass Drum ; Léa Hung ; FR15-L01-01CR 
Tirants de grosse caisse 12-24x106 chromé avec rondelle;16;16;20;20;20;20;0,2;USD;1,1; 0,18 € ; 2,91 € ; 2,91 € ; 3,64 € ; 3,64 € ; 3,64 € ; 3,64 € ; Tension Rod 12-24x106 Chrome Plating W/Metal Washer ; Léa Hung ; TR01-055106CR 
Rondelle de tirant nylon;16;16;20;20;20;20;0,07;USD;1,1; 0,06 € ; 1,02 € ; 1,02 € ; 1,27 € ; 1,27 € ; 1,27 € ; 1,27 € ; Nylon Washer for Tension Rod ; Léa Hung ; 3D010084NB 
Vis de montage 4x11 pour coquilles ;32;32;40;40;40;40;0,04;USD;1,1; 0,04 € ; 1,16 € ; 1,16 € ; 1,45 € ; 1,45 € ; 1,45 € ; 1,45 € ; Mounting Screw 4x11 Nickel Plating for lugs ; Léa Hung ; BS01-0400011NK 
Crochet de grosse caisse;16;16;20;20;20;20;1,8;USD;1,1; 1,64 € ; 26,18 € ; 26,18 € ; 32,73 € ; 32,73 € ; 32,73 € ; 32,73 € ; Die Casting Bass Drum Claw Chrome Plating ; Léa Hung ; FR15-BC001CR 
;;;;;;;;;;;;;;;;;;;
'Etiquette date de fin d''assemblage';1;1;1;1;1;1;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ;Estimation;Interne;
Etiquette de livraison ASBA;1;1;1;1;1;1;0,5;EUR;1; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ;Estimation;Interne;
Ruban tricolore;1;1;1;1;1;1;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ;Estimation;Interne;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;18x14;20x14;22x14;22x16;24x14;24x16;;;
;;;;;;;;;;Total prix de revient matière Grosses Caisses Révélation selon dimension; 380,21 € ; 393,01 € ; 417,54 € ; 417,54 € ; 464,83 € ; 464,83 € ;;;
Floor Tom ;14x14;16x14;16x16;;;;;;;;14x14;16x14;16x16;;;;;;
Quantité Rhodoïde par fût - Finition Ripple;0,66;0,66;0,66;;;;52,5;USD;1,1; 47,73 € ; 31,50 € ; 31,50 € ; 31,50 € ; -   € ; -   € ; -   € ;;;
Supplément finition Sparkle;0,66;0,66;0,66;;;;14;USD;1,1; 12,73 € ; 8,40 € ; 8,40 € ; 8,40 € ; -   € ; -   € ; -   € ;;;
Rhodoïde Alice Copper (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Gold Ripple Pearl on black ; Delmar ; PVF-K16461001B-026LM 
Rhodoïde Asblack (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Black Ripple ; Delmar ; PVF-K16221001B-028LM 
Rhodoïde FadeToGris (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Grey Smoke Ripple on black ; Delmar ; PVF-16451001B-026LM 
Rhodoïde CharlieWhite (ripple)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;52,5;USD;1,1; 47,73 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Vintage Ripple Pearl on White ; Delmar ; PVF-16451001W-026LM 
Rhodoïde Marcel Blanche (sparkle)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;66,5;USD;1,1; 60,45 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Vintage Nickel Sparkle ; Delmar ; PSP-1645NICKELW-025LM 
Rhodoïde Moulin Rouge (sparkle)-par plaque 24x54 dont Inlay 0,5x54;;;;;;;66,5;USD;1,1; 60,45 € ; -   € ; -   € ; -   € ; -   € ; -   € ; -   € ; Dark Red Sparkle ; Delmar ; PSP-DARKRED6W-025LM 
;;;;;;;;;;;;;;;;;;;
'Fût Acajou/Peuplier/Acajou 14''''x14''''-Par tube 14x39';0,34;;;;;;235,2;EUR;1; 235,20 € ; 79,97 € ; -   € ; -   € ; -   € ; -   € ; -   € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 14x39 ; CVL ;
Renfort de chanfrein 14" - Par couple;1;;;;;;18,4;EUR;1; 18,40 € ; 18,40 € ; -   € ; -   € ; -   € ; -   € ; -   € ; Shell 3 - Per couple of rings ; CVL ;
Cercle moulé chrome 3x14"x8 ;2;;;;;;22,8;USD;1,1; 20,73 € ; 41,45 € ; -   € ; -   € ; -   € ; -   € ; -   € ;' Die-Casting Hoop 3x14''''x8 Chrome Plating '; Léa Hung ; HA12-301408CR 
'Peau de frappe 14''''';1;;;;;;5,94;USD;1,1; 5,40 € ; 5,40 € ; -   € ; -   € ; -   € ; -   € ; -   € ; ASBA 14" GEN G2 CTD ;' D''Addario '; Y40208-B14G2 
'Peau de résonnance 14''''';1;;;;;;5,94;USD;1,1; 5,40 € ; 5,40 € ; -   € ; -   € ; -   € ; -   € ; -   € ; ASBA 14" GEN G1 CLR ;' D''Addario '; Y40208-TT14G1 
'Fût Acajou/Peuplier/Acajou 16''''x14'''' ou 16"-Par tube 16x33';;0,5;0,5;;;;195,23;EUR;1; 195,23 € ; -   € ; 97,62 € ; 97,62 € ; -   € ; -   € ; -   € ; Shell 3 Mahogany/Poplar/Mahogany - Per tube 16x33 ; CVL ;
Renfort de chanfrein 16" - Par couple;;1;1;;;;18,4;EUR;1; 18,40 € ; -   € ; 18,40 € ; 18,40 € ; -   € ; -   € ; -   € ; Shell 3 - Per couple of rings ; CVL ;
Cercle moulé chrome 3x16"x8 ;;2;2;;;;26,8;USD;1,1; 24,36 € ; -   € ; 48,73 € ; 48,73 € ; -   € ; -   € ; -   € ;' Die-Casting Hoop 3x16''''x8 Chrome Plating '; Léa Hung ; HA12-301608CR 
'Peau de frappe 16''''';;1;1;;;;6,75;USD;1,1; 6,14 € ; -   € ; 6,14 € ; 6,14 € ; -   € ; -   € ; -   € ; ASBA 16" GEN G2 CTD ;' D''Addario '; Y40208-B16G2 
'Peau de résonnance 16''''';;1;1;;;;6,75;USD;1,1; 6,14 € ; -   € ; 6,14 € ; 6,14 € ; -   € ; -   € ; -   € ; ASBA 16" GEN G1 CLR ;' D''Addario '; Y40208-TT16G1 
;;;;;;;;;;;;;;;;;;;
Air Vent chromé avec joint;1;1;1;;;;1,5;USD;1,1; 1,36 € ; 1,36 € ; 1,36 € ; 1,36 € ; -   € ; -   € ; -   € ; Die Casting Air Vent Chrome Plating including Gasket ; Léa Hung ; FR15-AV01CR 
Vis inox 3x16 chromé tête ronde pour air vent (vendu par set de 2);2;2;2;;;;0,3;USD;1; 0,30 € ; 0,60 € ; 0,60 € ; 0,60 € ; -   € ; -   € ; -   € ; Inox screw for airvent ; Léa Hung ; En attente 
'Rondelle Inox  dos d''air Vent';2;2;2;;;;0,2;EUR;1; 0,20 € ; 0,40 € ; 0,40 € ; 0,40 € ; -   € ; -   € ; -   € ;Estimation; Contact Baptiste : fixnvis ; Voir diamètre extérieur et intérieur (intérieur=vis 3x16) 
;;;;;;;;;;;;;;;;;;;
Pied de floor tom 10.5 x 540 chromé (vendu par set de 2 pieds);3;3;3;;;;3;USD;1,1; 2,73 € ; 8,18 € ; 8,18 € ; 8,18 € ; -   € ; -   € ; -   € ; Floor Tom Leg 10.5 x 540 Chrome Plating (per set) ; Léa Hung ; FL03-105540CR 
Support de pied de tom (vis à droite);2;2;2;;;;5,19;USD;1,1; 4,72 € ; 9,44 € ; 9,44 € ; 9,44 € ; -   € ; -   € ; -   € ; Tom Mount Chrome Plating, suit for 9,5/10,5 mm Floor Tom leg/L rod, including 2mm gasket ; Léa Hung ; FR15-TM001CR 
Support de pied de tom (vis gauche);1;1;1;;;;5,19;USD;1,1; 4,72 € ; 4,72 € ; 4,72 € ; 4,72 € ; -   € ; -   € ; -   € ; Tom Mount Chrome Plating, suit for 9,5/10,5 mm Floor Tom leg/L rod, including 2mm gasket ; Léa Hung ; FR15-TM002CR 
Vis de montage 5x15 pour pieds de FT;6;6;6;;;;0,05;USD;1,1; 0,05 € ; 0,27 € ; 0,27 € ; 0,27 € ; -   € ; -   € ; -   € ; Mounting Screw 5x15 Nickel Plating ; Léa Hung ; BS01-050015NK 
;;;;;;;;;;;;;;;;;;;
Badge laiton ASBA;1;1;1;;;;3;USD;1,1; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; -   € ; -   € ; -   € ; Die Casting Badge Brass Plating ; Léa Hung ; FR15-BG01BR 
Vis de montage 4x9 pour badge ;2;2;2;;;;0,04;USD;1,1; 0,04 € ; 0,07 € ; 0,07 € ; 0,07 € ; -   € ; -   € ; -   € ; Mounting Screw 4x9 Nickel Plating  ; Léa Hung ; BS01-040009NK 
;;;;;;;;;;;;;;;;;;;
Coquilles de Tom chromé;16;16;16;;;;1,8;USD;1,1; 1,64 € ; 26,18 € ; 26,18 € ; 26,18 € ; -   € ; -   € ; -   € ; Die Casting Lug Chrome Plating excluding gasket For Tom & Snare ; Léa Hung ; FR15-L01-02CR 
Joint de coquille de Tom;16;16;16;;;;0,08;USD;1,1; 0,07 € ; 1,16 € ; 1,16 € ; 1,16 € ; -   € ; -   € ; -   € ; Gasket for FR15-L01-02 Tom & Snare lug ; Léa Hung ; 3D010128RW 
Tirants de Floor Tom 12-24x52 chromé avec rondelle;16;16;16;;;;0,11;USD;1,1; 0,10 € ; 1,60 € ; 1,60 € ; 1,60 € ; -   € ; -   € ; -   € ; Tension Rod 12-24x52 Chrome Plating W/Metal Washer ; Léa Hung ; TR01-055052CR 
Rondelle de tirant nylon;16;16;16;;;;0,07;USD;1,1; 0,06 € ; 1,02 € ; 1,02 € ; 1,02 € ; -   € ; -   € ; -   € ; Nylon Washer for Tension Rod ; Léa Hung ; 3D010084NB 
Vis de montage 4x11 pour coquilles ;32;32;32;;;;0,04;USD;1,1; 0,04 € ; 1,16 € ; 1,16 € ; 1,16 € ; -   € ; -   € ; -   € ; Mounting Screw 4x11 Nickel Plating for lugs ; Léa Hung ; BS01-0400011NK 
;;;;;;;;;;;;;;;;;;;
'Etiquette date de fin d''assemblage';1;1;1;;;;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; -   € ; -   € ; -   € ;Estimation;Interne;
Etiquette de livraison ASBA;1;1;1;;;;0,5;EUR;1; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ; -   € ; -   € ; -   € ;Estimation;Interne;
Ruban tricolore;1;1;1;;;;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; -   € ; -   € ; -   € ;Estimation;Interne;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;14x14;16x14;16x16;;;;;;
;;;;;;;;;;Total prix de revient matière Floor Tom Révélation selon dimension; 250,12 € ; 276,52 € ; 276,52 € ; -   € ; -   € ; -   € ;;;
Rack Tom ;10x8;12x8;12x9;13x9;14x10;;;;;;10x8;12x8;12x9;13x9;14x10;;;;
